sgRNA	Gene	sample1
MGLibA_42436	Ppp2r5e	154
MGLibA_13745/MGLibA_13748/MGLibA_20249/MGLibA_20855/MGLibA_20921/MGLibA_21176/	Defa4/Defa5/Gm10104/Gm14850/Gm15315/Gm21498/	1233
MGLibA_21656	Gm5591	171
MGLibA_33762	Nemf	164
MGLibA_28727	Lefty1	111
MGLibA_17659	Fam73a	209
MGLibA_20078	Gldn	70
MGLibA_15766	Eif2ak3	332
MGLibA_04440	Anxa5	71
MGLibA_11979	Crtc2	213
MGLibA_41322	Plbd2	197
MGLibA_14022	Dgkg	156
MGLibA_59753/MGLibA_59755/MGLibA_59759/	Xlr5a/Xlr5b/Xlr5c/	157
MGLibA_26644	Jag2	35
MGLibA_21121	Gm20822	65
MGLibA_27357	Kif1b	41
MGLibA_44698	Rbbp4	54
MGLibA_18318	Fgf17	89
MGLibA_53120	Tcf19	184
MGLibA_00834	2310057N15Rik	42
MGLibA_28565	Lce1g	103
MGLibA_16800	Exoc3l4	38
MGLibA_66283	mmu-mir-7091	158
MGLibA_03846	Alg6	138
MGLibA_06233	BC003965	115
MGLibA_46939	Samd12	137
MGLibA_43339	Psg21	132
MGLibA_66569	NonTargetingControlGuideForMouse_0164	306
MGLibA_30731	Mdc1	350
MGLibA_11725	Cpne7	214
MGLibA_58711/MGLibA_58728/MGLibA_58729/MGLibA_58750/	Vmn2r36/Vmn2r40/Vmn2r41/Vmn2r48/	153
MGLibA_07916	Cap2	150
MGLibA_24420	Hjurp	120
MGLibA_50888	Speer2	112
MGLibA_03887	Alms1	190
MGLibA_10009	Ces2f	115
MGLibA_29900	Lysmd3	91
MGLibA_11189	Cntnap3	44
MGLibA_19191	G3bp1	145
MGLibA_13624	Ddx3y	92
MGLibA_08139	Casr	135
MGLibA_52218	Svs1	87
MGLibA_28764	Lepre1	116
MGLibA_04048	Amtn	232
MGLibA_26670	Jam2	240
MGLibA_22829	Gprin3	117
MGLibA_22929	Grem2	128
MGLibA_16631	Esp6	106
MGLibA_23640	H60c	147
MGLibA_45768	Rnf112	200
MGLibA_37345	Olfr399	111
MGLibA_27837	Klrc1	56
MGLibA_19674	Gcsh	106
MGLibA_04318	Ankrd54	162
MGLibA_28527	Lbr	83
MGLibA_47987	Sertm1	92
MGLibA_50114	Smim20	46
MGLibA_22259	Gng7	117
MGLibA_53097	Tceanc	106
MGLibA_02417	Abhd13	17
MGLibA_23877	Hdac6	56
MGLibA_46022	Rnpepl1	42
MGLibA_15063	Dusp12	168
MGLibA_06535	Banp	100
MGLibA_45464/MGLibA_45470/MGLibA_45476/	Rhox2a/Rhox2c/Rhox2e/	409
MGLibA_41501	Plg	112
MGLibA_38261	Olfr768	244
MGLibA_35980	Olfr1213	37
MGLibA_37529	Olfr480	265
MGLibA_36459	Olfr1387	176
MGLibA_48941	Slc22a26	89
MGLibA_64501	mmu-mir-7678	180
MGLibA_36268	Olfr1314	314
MGLibA_20470	Gm11992	164
MGLibA_21572	Gm5141	130
MGLibA_11116	Cnot7	206
MGLibA_47023	Sarm1	93
MGLibA_43201	Prss34	165
MGLibA_38783	Olfr985	68
MGLibA_49195	Slc28a2	145
MGLibA_12552	Cxcl13	114
MGLibA_53470	Tex21	37
MGLibA_15038	Duoxa2	21
MGLibA_54735	Tmem35	82
MGLibA_40970	Pik3ip1	118
MGLibA_47867	Serpinb12	47
MGLibA_26172	Ip6k1	36
MGLibA_09345	Cdc42ep1	95
MGLibA_18137	Fcgr2b	112
MGLibA_53091	Tceal8	390
MGLibA_19182	Fzr1	38
MGLibA_17239	Fam162b	73
MGLibA_60534	Zfp259	171
MGLibA_04538	Ap3s1	204
MGLibA_12275	Ctdnep1	37
MGLibA_53695	Thap2	57
MGLibA_06745	Bcmo1	121
MGLibA_65496	mmu-mir-344c	78
MGLibA_49367	Slc35f6	113
MGLibA_25845	Il22ra2	168
MGLibA_37480	Olfr462	58
MGLibA_37507	Olfr473	152
MGLibA_07576	C86695	45
MGLibA_56646	Tulp1	268
MGLibA_34615	Npy2r	307
MGLibA_29771	Ly6c1	207
MGLibA_35102	Nup155	72
MGLibA_10707	Clec1a	67
MGLibA_13283	Dars2	247
MGLibA_56925	Ube2g2	247
MGLibA_47708	Sema6d	100
MGLibA_50210	Smtn	74
