sgRNA	Gene	sample1
MGLibA_00138	1190003K10Rik	0
MGLibA_00139	1190005I06Rik	0
MGLibA_00140	1190005I06Rik	0
MGLibA_00141	1190005I06Rik	0
MGLibA_00142	1190007I07Rik	0
MGLibA_00143	1190007I07Rik	0
MGLibA_00144	1190007I07Rik	0
MGLibA_00148	1200014J11Rik	0
MGLibA_00149	1200014J11Rik	0
MGLibA_00150	1200014J11Rik	0
MGLibA_00151	1300002K09Rik	0
MGLibA_00152	1300002K09Rik	0
MGLibA_00153	1300002K09Rik	0
MGLibA_00154	1300017J02Rik	0
MGLibA_00155	1300017J02Rik	0
MGLibA_00156	1300017J02Rik	0
MGLibA_00163	1500009L16Rik	0
MGLibA_00164	1500009L16Rik	0
MGLibA_00165	1500012F01Rik	0
MGLibA_00166	1500012F01Rik	0
MGLibA_00167	1500012F01Rik	0
MGLibA_00168	1500015O10Rik	0
MGLibA_00169	1500015O10Rik	0
MGLibA_00170	1500015O10Rik	0
MGLibA_00171	1600002H07Rik	0
MGLibA_00172	1600002H07Rik	0
MGLibA_00173	1600002H07Rik	0
MGLibA_00174	1600002K03Rik	0
MGLibA_00175	1600002K03Rik	0
MGLibA_00176	1600002K03Rik	0
MGLibA_00177	1600012H06Rik	0
MGLibA_00178	1600012H06Rik	0
MGLibA_00179	1600012H06Rik	0
MGLibA_00180	1600014C10Rik	0
MGLibA_00181	1600014C10Rik	0
MGLibA_00182	1600014C10Rik	0
MGLibA_00183	1600014C23Rik	0
MGLibA_00184	1600014C23Rik	0
MGLibA_00185	1600014C23Rik	0
MGLibA_00186	1600014K23Rik	0
MGLibA_00187	1600014K23Rik	0
MGLibA_00188	1600014K23Rik	0
MGLibA_00189	1600015I10Rik	0
MGLibA_00190	1600015I10Rik	0
MGLibA_00191	1600015I10Rik	0
MGLibA_00192	1600016N20Rik	0
MGLibA_00193	1600016N20Rik	0
MGLibA_00194	1600016N20Rik	0
MGLibA_00195	1700001C02Rik	0
MGLibA_00196	1700001C02Rik	0
MGLibA_00197	1700001C02Rik	0
MGLibA_00198	1700001C19Rik	0
MGLibA_00199	1700001C19Rik	0
MGLibA_00200	1700001C19Rik	0
MGLibA_00201	1700001F09Rik	0
MGLibA_00202/MGLibA_20293/MGLibA_20296/	1700001F09Rik/Gm10375/Gm10377/	0
MGLibA_00203/MGLibA_20294/MGLibA_20297/	1700001F09Rik/Gm10375/Gm10377/	0
MGLibA_00204	1700001J03Rik	0
MGLibA_00205	1700001J03Rik	0
MGLibA_00206	1700001J03Rik	0
MGLibA_00207	1700001K19Rik	0
MGLibA_00208	1700001K19Rik	0
MGLibA_00209	1700001K19Rik	0
MGLibA_00210	1700001L19Rik	0
MGLibA_00211	1700001L19Rik	0
MGLibA_00212	1700001L19Rik	0
MGLibA_00213	1700001O22Rik	0
MGLibA_00214	1700001O22Rik	0
MGLibA_00215	1700001O22Rik	0
MGLibA_00216	1700001P01Rik	0
MGLibA_00217	1700001P01Rik	0
MGLibA_00218	1700001P01Rik	0
MGLibA_00219	1700003E16Rik	0
MGLibA_00220	1700003E16Rik	0
MGLibA_00221	1700003E16Rik	0
MGLibA_00222	1700003F12Rik	0
MGLibA_00223	1700003F12Rik	0
MGLibA_00224	1700003F12Rik	0
MGLibA_00225	1700003M02Rik	0
MGLibA_00226	1700003M02Rik	0
MGLibA_00227	1700003M02Rik	0
MGLibA_00228	1700006A11Rik	0
MGLibA_00229	1700006A11Rik	0
MGLibA_00230	1700006A11Rik	0
MGLibA_00231	1700006E09Rik	0
MGLibA_00232	1700006E09Rik	0
MGLibA_00233	1700006E09Rik	0
MGLibA_00234	1700007B14Rik	0
MGLibA_00235	1700007B14Rik	0
MGLibA_00236	1700007B14Rik	0
MGLibA_00237	1700007G11Rik	0
MGLibA_00238	1700007G11Rik	0
MGLibA_00239	1700007G11Rik	0
MGLibA_00240	1700007K09Rik	0
MGLibA_00241	1700007K09Rik	0
MGLibA_00242	1700007K09Rik	0
MGLibA_00243	1700007K13Rik	0
MGLibA_00244	1700007K13Rik	0
MGLibA_00245	1700007K13Rik	0
MGLibA_00246	1700008A04Rik	0
MGLibA_00247	1700008A04Rik	0
MGLibA_00248	1700008A04Rik	0
MGLibA_00249	1700008F21Rik	0
MGLibA_00250	1700008F21Rik	0
MGLibA_00251	1700008F21Rik	0
MGLibA_00252	1700008I05Rik	0
MGLibA_00253	1700008I05Rik	0
MGLibA_00254	1700008I05Rik	0
MGLibA_00255	1700008O03Rik	0
MGLibA_00256	1700008O03Rik	0
MGLibA_00257	1700008O03Rik	0
MGLibA_00258	1700008P02Rik	0
MGLibA_00259	1700008P02Rik	0
MGLibA_00260	1700008P02Rik	0
MGLibA_00261	1700009N14Rik	0
MGLibA_00262	1700009N14Rik	0
MGLibA_00263	1700009N14Rik	0
MGLibA_00264	1700009P17Rik	0
MGLibA_00265	1700009P17Rik	0
MGLibA_00266	1700009P17Rik	0
MGLibA_00267	1700010B08Rik	0
MGLibA_00268	1700010B08Rik	0
MGLibA_00269	1700010B08Rik	0
MGLibA_00270	1700010D01Rik	0
MGLibA_00271	1700010D01Rik	0
MGLibA_00272	1700010D01Rik	0
MGLibA_00273	1700010I14Rik	0
MGLibA_00274	1700010I14Rik	0
MGLibA_00275	1700010I14Rik	0
MGLibA_00276	1700011A15Rik	0
MGLibA_00277	1700011A15Rik	0
MGLibA_00278	1700011A15Rik	0
MGLibA_00279	1700011E24Rik	0
MGLibA_00280	1700011E24Rik	0
MGLibA_00281	1700011E24Rik	0
MGLibA_00282	1700011H14Rik	0
MGLibA_00283	1700011H14Rik	0
MGLibA_00284	1700011H14Rik	0
MGLibA_00285	1700011I03Rik	0
MGLibA_00286	1700011I03Rik	0
MGLibA_00287	1700011I03Rik	0
MGLibA_00288	1700011L22Rik	0
MGLibA_00289	1700011L22Rik	0
MGLibA_00290	1700011L22Rik	0
MGLibA_00291	1700012A03Rik	0
MGLibA_00292	1700012A03Rik	0
MGLibA_00293	1700012A03Rik	0
MGLibA_00294	1700012B07Rik	0
MGLibA_00295	1700012B07Rik	0
MGLibA_00296	1700012B07Rik	0
MGLibA_00297	1700012B09Rik	0
MGLibA_00298	1700012B09Rik	0
MGLibA_00299	1700012B09Rik	0
MGLibA_00300	1700012L04Rik	0
MGLibA_00301	1700012L04Rik	0
MGLibA_00302/MGLibA_20782/MGLibA_20785/MGLibA_20788/MGLibA_20791/MGLibA_20794/MGLibA_20797/MGLibA_20800/MGLibA_20803/MGLibA_20806/MGLibA_20815/	1700012L04Rik/Gm14474/Gm14475/Gm14476/Gm14477/Gm14478/Gm14479/Gm14482/Gm14483/Gm14484/Gm14501/	0
MGLibA_00303	1700012P22Rik	0
MGLibA_00304	1700012P22Rik	0
MGLibA_00305	1700012P22Rik	0
MGLibA_00306	1700013D24Rik	0
MGLibA_00307	1700013D24Rik	0
MGLibA_00308	1700013D24Rik	0
MGLibA_00309	1700013F07Rik	0
MGLibA_00310	1700013F07Rik	0
MGLibA_00311	1700013F07Rik	0
MGLibA_00312	1700013G24Rik	0
MGLibA_00313	1700013G24Rik	0
MGLibA_00314	1700013G24Rik	0
MGLibA_00315	1700013H16Rik	0
MGLibA_00316	1700013H16Rik	0
MGLibA_00317	1700013H16Rik	0
MGLibA_00318	1700015E13Rik	0
MGLibA_00319	1700015E13Rik	0
MGLibA_00320	1700015E13Rik	0
MGLibA_00321	1700015F17Rik	0
MGLibA_00322	1700015F17Rik	0
MGLibA_00323	1700015F17Rik	0
MGLibA_00324	1700015G11Rik	0
MGLibA_00325	1700015G11Rik	0
MGLibA_00326	1700015G11Rik	0
MGLibA_00327	1700016C15Rik	0
MGLibA_00328	1700016C15Rik	0
MGLibA_00329	1700016C15Rik	0
MGLibA_00330	1700016D06Rik	0
MGLibA_00331	1700016D06Rik	0
MGLibA_00332	1700016D06Rik	0
MGLibA_00333	1700016H13Rik	0
MGLibA_00334	1700016H13Rik	0
MGLibA_00335	1700016H13Rik	0
MGLibA_00336	1700016K19Rik	0
MGLibA_00337	1700016K19Rik	0
MGLibA_00338	1700016K19Rik	0
MGLibA_00339	1700017B05Rik	0
MGLibA_00340	1700017B05Rik	0
MGLibA_00341	1700017B05Rik	0
MGLibA_00342	1700017D01Rik	0
MGLibA_00343	1700017D01Rik	0
MGLibA_00344	1700017D01Rik	0
MGLibA_00345	1700017N19Rik	0
MGLibA_00346	1700017N19Rik	0
MGLibA_00347	1700017N19Rik	0
MGLibA_00348	1700018B08Rik	0
MGLibA_00349	1700018B08Rik	0
MGLibA_00350	1700018B08Rik	0
MGLibA_00351	1700018C11Rik	0
MGLibA_00352	1700018C11Rik	0
MGLibA_00353	1700018C11Rik	0
MGLibA_00354	1700018F24Rik	0
MGLibA_00355	1700018F24Rik	0
MGLibA_00356	1700018F24Rik	0
MGLibA_00357	1700019A02Rik	0
MGLibA_00358	1700019A02Rik	0
MGLibA_00359	1700019A02Rik	0
MGLibA_00360	1700019B03Rik	0
MGLibA_00361	1700019B03Rik	0
MGLibA_00362	1700019B03Rik	0
MGLibA_00363	1700019D03Rik	0
MGLibA_00364	1700019D03Rik	0
MGLibA_00365	1700019D03Rik	0
